#Ecut		VBM	CBM	Gap
5		6.0229 7.5083 1.4854
10		5.9615 7.1803 1.2188
15		5.9315 7.0729 1.1414
20		5.9210 7.0430 1.122
25		5.9101 7.0316 1.1215
30		5.9063 7.0268 1.1205
