# ecut(Ry) energy(Ry)
10		-38.95654982-39.00555722-39.06176728-38.95897355-39.06932047-39.07042513-39.07059263-39.07059443
15		-40.35538278-40.40889708-40.44239704-40.44239558-40.44241429
20		-41.09649811-41.23981142-41.25009123-41.25084651-41.25084959
25		-41.77016311-42.00336747-41.93357854-42.04208714-42.04273686-42.04276409
30		-42.15504612-42.37568423-42.45106955-42.47002434-42.47549846-42.47563488-42.47563594
35		-42.45304557-42.66593797-42.78347409-42.78703981-42.79510755-42.79528882-42.79529315
40		-42.63410488-42.85815672-42.81314868-42.97517925-42.95466497-42.98482049-42.98497888-42.98498525
45		-42.76467966-43.00617860-43.09300097-43.10703891-43.12249673-43.12372472-43.12383983-43.12384040
50		-42.83263446-43.07612565-43.16949758-43.18172244-43.19556407-43.19651107-43.19658070-43.19658093
